SA,2500,0.55,training accuracy,93.732,training time,109.399,testing time,0.034
SA,2500,0.55,testing accuracy,89.870,training time,109.399,testing time,0.015
SA,2500,0.65,training accuracy,93.655,training time,108.220,testing time,0.034
SA,2500,0.65,testing accuracy,90.865,training time,108.220,testing time,0.018
SA,2500,0.75,training accuracy,93.422,training time,108.368,testing time,0.033
SA,2500,0.75,testing accuracy,90.624,training time,108.368,testing time,0.014
SA,2500,0.85,training accuracy,94.055,training time,105.475,testing time,0.033
SA,2500,0.85,testing accuracy,90.745,training time,105.475,testing time,0.015
SA,2500,0.95,training accuracy,91.600,training time,108.074,testing time,0.042
SA,2500,0.95,testing accuracy,84.745,training time,108.074,testing time,0.015
SA,5000,0.15,training accuracy,94.934,training time,225.882,testing time,0.034
SA,5000,0.15,testing accuracy,91.137,training time,225.882,testing time,0.015
SA,5000,0.25,training accuracy,94.999,training time,217.420,testing time,0.036
SA,5000,0.25,testing accuracy,89.901,training time,217.420,testing time,0.017
SA,5000,0.35,training accuracy,94.598,training time,214.294,testing time,0.034
SA,5000,0.35,testing accuracy,89.117,training time,214.294,testing time,0.015
SA,5000,0.45,training accuracy,94.934,training time,217.007,testing time,0.033
SA,5000,0.45,testing accuracy,88.423,training time,217.007,testing time,0.014
SA,5000,0.55,training accuracy,94.882,training time,218.087,testing time,0.037
SA,5000,0.55,testing accuracy,89.961,training time,218.087,testing time,0.015
SA,5000,0.65,training accuracy,95.037,training time,221.012,testing time,0.036
SA,5000,0.65,testing accuracy,89.720,training time,221.012,testing time,0.016
SA,5000,0.75,training accuracy,94.882,training time,222.051,testing time,0.034
SA,5000,0.75,testing accuracy,89.478,training time,222.051,testing time,0.015
SA,5000,0.85,training accuracy,94.792,training time,221.853,testing time,0.034
SA,5000,0.85,testing accuracy,89.147,training time,221.853,testing time,0.015
SA,5000,0.95,training accuracy,94.508,training time,223.642,testing time,0.035
SA,5000,0.95,testing accuracy,90.262,training time,223.642,testing time,0.016
SA,10,0.15,training accuracy,42.861,training time,0.672,testing time,0.059
SA,10,0.15,testing accuracy,42.285,training time,0.672,testing time,0.040
SA,10,0.25,training accuracy,37.285,training time,0.368,testing time,0.025
SA,10,0.25,testing accuracy,37.295,training time,0.368,testing time,0.016
SA,10,0.35,training accuracy,60.293,training time,0.251,testing time,0.020
SA,10,0.35,testing accuracy,60.867,training time,0.251,testing time,0.012
SA,10,0.45,training accuracy,47.311,training time,0.237,testing time,0.020
SA,10,0.45,testing accuracy,48.129,training time,0.237,testing time,0.009
SA,10,0.55,training accuracy,38.778,training time,0.258,testing time,0.022
SA,10,0.55,testing accuracy,38.936,training time,0.258,testing time,0.009
SA,10,0.65,training accuracy,36.778,training time,0.231,testing time,0.021
SA,10,0.65,testing accuracy,36.441,training time,0.231,testing time,0.008
SA,10,0.75,training accuracy,34.666,training time,0.229,testing time,0.021
SA,10,0.75,testing accuracy,35.194,training time,0.229,testing time,0.009
SA,10,0.85,training accuracy,54.632,training time,0.237,testing time,0.020
SA,10,0.85,testing accuracy,54.629,training time,0.237,testing time,0.008
