GA,500,200,100,20,training accuracy,92.228,training time,422.339,testing time,0.016
GA,500,200,100,20,testing accuracy,91.924,training time,422.339,testing time,0.007
GA,500,500,350,50,training accuracy,92.678,training time,1337.845,testing time,0.016
GA,500,500,350,50,testing accuracy,92.580,training time,1337.845,testing time,0.007
GA,1000,10,5,2,training accuracy,68.234,training time,55.612,testing time,0.016
GA,1000,10,5,2,testing accuracy,67.367,training time,55.612,testing time,0.006
GA,1000,20,10,5,training accuracy,82.794,training time,100.934,testing time,0.018
GA,1000,20,10,5,testing accuracy,82.272,training time,100.934,testing time,0.006
GA,1000,50,25,10,training accuracy,90.369,training time,227.226,testing time,0.015
GA,1000,50,25,10,testing accuracy,90.939,training time,227.226,testing time,0.006
GA,1000,100,50,10,training accuracy,91.298,training time,408.725,testing time,0.017
GA,1000,100,50,10,testing accuracy,91.267,training time,408.725,testing time,0.007
GA,1000,200,100,20,training accuracy,91.890,training time,802.829,testing time,0.016
GA,1000,200,100,20,testing accuracy,92.252,training time,802.829,testing time,0.007
GA,1000,500,350,50,training accuracy,92.875,training time,2612.925,testing time,0.016
GA,1000,500,350,50,testing accuracy,92.712,training time,2612.925,testing time,0.007
GA,2500,10,5,2,training accuracy,75.049,training time,136.895,testing time,0.017
GA,2500,10,5,2,testing accuracy,75.181,training time,136.895,testing time,0.007
GA,2500,20,10,5,training accuracy,83.103,training time,250.111,testing time,0.016
GA,2500,20,10,5,testing accuracy,83.519,training time,250.111,testing time,0.007
GA,2500,50,25,10,training accuracy,90.453,training time,557.254,testing time,0.015
GA,2500,50,25,10,testing accuracy,90.611,training time,557.254,testing time,0.010
GA,2500,100,50,10,training accuracy,92.284,training time,1008.068,testing time,0.015
GA,2500,100,50,10,testing accuracy,92.712,training time,1008.068,testing time,0.007
GA,10,10,5,2,training accuracy,60.321,training time,0.966,testing time,0.053
GA,10,10,5,2,testing accuracy,59.094,training time,0.966,testing time,0.021
GA,10,20,10,5,training accuracy,63.897,training time,1.219,testing time,0.021
GA,10,20,10,5,testing accuracy,63.165,training time,1.219,testing time,0.014
GA,10,50,25,10,training accuracy,74.627,training time,2.716,testing time,0.019
GA,10,50,25,10,testing accuracy,74.327,training time,2.716,testing time,0.007
GA,10,100,50,10,training accuracy,77.556,training time,6.029,testing time,0.018
GA,10,100,50,10,testing accuracy,78.201,training time,6.029,testing time,0.008
GA,10,200,100,20,training accuracy,71.417,training time,13.524,testing time,0.018
GA,10,200,100,20,testing accuracy,70.650,training time,13.524,testing time,0.009
GA,10,500,350,50,training accuracy,75.021,training time,39.192,testing time,0.017
GA,10,500,350,50,testing accuracy,76.165,training time,39.192,testing time,0.008
GA,100,10,5,2,training accuracy,63.926,training time,7.462,testing time,0.019
GA,100,10,5,2,testing accuracy,65.135,training time,7.462,testing time,0.008
GA,100,20,10,5,training accuracy,84.033,training time,12.854,testing time,0.026
GA,100,20,10,5,testing accuracy,84.176,training time,12.854,testing time,0.013
GA,100,50,25,10,training accuracy,85.441,training time,30.511,testing time,0.019
GA,100,50,25,10,testing accuracy,85.883,training time,30.511,testing time,0.008
GA,100,100,50,10,training accuracy,88.538,training time,46.503,testing time,0.017
GA,100,100,50,10,testing accuracy,89.429,training time,46.503,testing time,0.007
GA,100,200,100,20,training accuracy,90.369,training time,90.397,testing time,0.018
GA,100,200,100,20,testing accuracy,90.545,training time,90.397,testing time,0.007
GA,100,500,350,50,training accuracy,89.580,training time,293.386,testing time,0.017
GA,100,500,350,50,testing accuracy,90.085,training time,293.386,testing time,0.008
GA,300,10,5,2,training accuracy,58.462,training time,18.604,testing time,0.019
GA,300,10,5,2,testing accuracy,58.503,training time,18.604,testing time,0.007
GA,300,20,10,5,training accuracy,84.427,training time,33.820,testing time,0.016
GA,300,20,10,5,testing accuracy,84.833,training time,33.820,testing time,0.008
GA,300,50,25,10,training accuracy,89.327,training time,74.765,testing time,0.017
GA,300,50,25,10,testing accuracy,89.757,training time,74.765,testing time,0.007
GA,300,100,50,10,training accuracy,88.679,training time,132.566,testing time,0.016
GA,300,100,50,10,testing accuracy,89.166,training time,132.566,testing time,0.007
GA,300,200,100,20,training accuracy,91.749,training time,245.447,testing time,0.016
GA,300,200,100,20,testing accuracy,91.793,training time,245.447,testing time,0.006
GA,300,500,350,50,training accuracy,91.552,training time,825.156,testing time,0.018
GA,300,500,350,50,testing accuracy,92.121,training time,825.156,testing time,0.012
GA,600,10,5,2,training accuracy,67.052,training time,35.125,testing time,0.016
GA,600,10,5,2,testing accuracy,67.958,training time,35.125,testing time,0.008
GA,600,20,10,5,training accuracy,82.090,training time,62.970,testing time,0.017
GA,600,20,10,5,testing accuracy,82.666,training time,62.970,testing time,0.008
GA,600,50,25,10,training accuracy,87.722,training time,138.486,testing time,0.017
GA,600,50,25,10,testing accuracy,87.525,training time,138.486,testing time,0.007
GA,600,100,50,10,training accuracy,90.876,training time,244.963,testing time,0.016
GA,600,100,50,10,testing accuracy,90.676,training time,244.963,testing time,0.007
GA,600,200,100,20,training accuracy,92.565,training time,503.382,testing time,0.021
GA,600,200,100,20,testing accuracy,92.777,training time,503.382,testing time,0.007
GA,600,500,350,50,training accuracy,92.594,training time,1775.132,testing time,0.019
GA,600,500,350,50,testing accuracy,92.843,training time,1775.132,testing time,0.006
GA,1000,10,5,2,training accuracy,63.475,training time,59.499,testing time,0.016
GA,1000,10,5,2,testing accuracy,62.640,training time,59.499,testing time,0.007
GA,1000,20,10,5,training accuracy,85.187,training time,104.090,testing time,0.016
GA,1000,20,10,5,testing accuracy,86.474,training time,104.090,testing time,0.006
GA,1000,50,25,10,training accuracy,90.172,training time,236.327,testing time,0.015
GA,1000,50,25,10,testing accuracy,90.151,training time,236.327,testing time,0.007
GA,1000,100,50,10,training accuracy,91.017,training time,408.971,testing time,0.016
GA,1000,100,50,10,testing accuracy,91.661,training time,408.971,testing time,0.008
GA,1000,200,100,20,training accuracy,92.171,training time,856.581,testing time,0.016
GA,1000,200,100,20,testing accuracy,92.449,training time,856.581,testing time,0.007
GA,1000,500,350,50,training accuracy,92.565,training time,2567.487,testing time,0.015
GA,1000,500,350,50,testing accuracy,93.040,training time,2567.487,testing time,0.007
GA,1500,10,5,2,training accuracy,79.837,training time,79.043,testing time,0.015
GA,1500,10,5,2,testing accuracy,79.777,training time,79.043,testing time,0.006
GA,1500,20,10,5,training accuracy,84.568,training time,142.153,testing time,0.015
GA,1500,20,10,5,testing accuracy,84.898,training time,142.153,testing time,0.007
GA,1500,50,25,10,training accuracy,90.763,training time,316.629,testing time,0.015
GA,1500,50,25,10,testing accuracy,91.005,training time,316.629,testing time,0.007
GA,1500,100,50,10,training accuracy,91.467,training time,571.360,testing time,0.015
GA,1500,100,50,10,testing accuracy,91.858,training time,571.360,testing time,0.006
GA,1500,200,100,20,training accuracy,92.819,training time,1121.622,testing time,0.015
GA,1500,200,100,20,testing accuracy,92.974,training time,1121.622,testing time,0.007
